segment_id	text	annotator_1	annotator_2	annotator_3	agreed_rating
1043	"I went all the way to the Eastern Mediterranean after him. But I'm very much afraid he isn't going to be a great deal of help to me. To tell you the truth, I'm rather disappointed in his appearance. He doesn't look very intelligent, does he?"" ""No, he doesn't,"" I agreed. ""Ah,"" said the Doctor. ""The sausages are done to a turn. Come along—hold your plate near and let me give you some."""	3	4		3
1044	Abraham but dusty in his cave? Duke Lot hath a monument less durable than his wicked wife's; and as for Noë, that great admiral, the waters of oblivion have him whom the waters of God might not drown.	2	2		2
1045	"Sullivan raised his handsome, haggard head and looked around at me. ""I've seen you before, haven't I?"" he asked. ""Weren't you an uninvited guest at the Laurels a few days—or nights—ago?"	1	1		1
1046	"He held his hands high, came forward cautiously. ""I am finished,"" he whispered—""Done! I don't care what they'll do to me."" He nodded toward the handmaiden and Larry, now at the end of the bridge and passing on, oblivious of all save each other. He drew closer. His eyes were sunken, burning, mad; his face etched with deep lines, as though a graver's tool had cut down through it. I took a step backward. A grin, like the grimace of a fiend, blasted the Russian's visage."	4	3		4
1047	Anson's sudden action then seemed a leap of his whole frame. Wilson, likewise, bent forward eagerly. Beasley glanced at the door—then began to whisper.	3	2		3
1048	"""Oliver is a man—he must apologize. A man, I say, though little more than a boy. And otherwise you would now be pursuing your Art in Paris due to dear kind Mrs."	0	2		1
1049	"I crossed myself when I heard that, as if I had heard the devil."" I looked at the keeper when he put the last question, and I am much mistaken if I did not detect an evil smile on his lips."	2	3		2
1050	Sometime later Bassett got on his horse and rode out to a ledge which commanded a long stretch of trail in the valley below. Far away horsemen were riding along it, one behind the other, small dots that moved on slowly but steadily.	3		4	4
1051	"They will get cold steel and hot lead for their pains, an they venture to molest us, instead of silver or gold."" ""Very true,"" said Philip, who was as eager as his cousin and endued with full share of Trevlyn courage and impetuosity; ""we can never wait till those sluggards have come up."	0		0	0
1052	The coiling uprush of smoke streamed across the sky, and through the rare tatters of that red canopy, remote as though they belonged to another universe, shone the little stars.	4		3	3
1053	Bill's mount slid on his haunches and spilled his rider from the saddle. Silvermane seemed to be climbing into the air. Then August Naab, darting through the gate in a cloud of dust, shot his lasso, catching the right foreleg. Silvermane landed hard, his hoofs striking fire from the stones; and for an instant strained in convulsive struggle; then fell heaving and groaning. In a twinkling Billy loosened his lasso over a knot, making of it a halter, and tied the end to a cedar stump.	4		5	4
1054	She kept to the stones of the creek for a pathway, jumping lightly from those that were moss-grown to those that hid their nakedness in the dark, velvet shadows of early morning, her white feet touching the shallow stream like pale gulls that dipped and skimmed.	4		4	4
